linkID,volume,capacity
514947-557311,1,1200.0
285558,1,1200.0
319413,1,2000.0
319420,1,4000.0
329771-329772,1,8000.0
319425,1,4000.0
549748,1,1200.0
319426,1,1200.0
319421,1,4000.0
319422,1,4000.0
319423,1,4000.0
319424,1,4000.0
549752,3,1200.0
319418,1,4000.0
7,10,1200.0
8,10,1200.0
9,14,3000.0
574727,1,1200.0
285572,2,4000.0
574730,2,1200.0
574732,2,1200.0
574734,2,1200.0
435806-247563,2,1200.0
535102,1,1200.0
3671,1,1200.0
535103,1,1200.0
3673,1,1200.0
574740,1,1200.0
574745,9,6000.0
574746,3,6000.0
574747,3,6000.0
574748,7,6000.0
3665,1,1200.0
3669,1,1200.0
535155,2,3600.0
231295-112846,7,1200.0
535156,6,3600.0
3680,10,1200.0
535157,18,12000.0
3681,9,1200.0
535158,14,6000.0
3682,5,1200.0
285511,13,1200.0
187098,2,3000.0
187091,4,9000.0
187092,5,6000.0
187090,7,9000.0
3679,6,1200.0
552789-552790,1,600.0
509637-614385-261290-499355-269039,23,2000.0
563870-563872,1,1200.0
3686,6,4000.0
14502-374625,11,6000.0
3687,3,4000.0
535132,2,1200.0
137508-137506-137504,3,3000.0
187068,1,1200.0
187069,1,1200.0
476227,2,1200.0
164751-265291-164752,32,8000.0
476210,2,1200.0
476211,5,1200.0
153710,1,1200.0
153711,1,1200.0
153712,4,6000.0
608662,3,1200.0
422226-422228,2,2400.0
476209,5,1200.0
114113,1,1200.0
608661,1,1200.0
571458-571459,1,1200.0
608669,1,1200.0
501729,2,1200.0
153700,3,1200.0
501725,1,1200.0
153701,7,6000.0
501726,1,1200.0
153702,2,6000.0
501727,1,1200.0
153703,3,6000.0
501728,4,1200.0
501721,61,12000.0
153704,5,6000.0
501722,39,12000.0
501723,67,12000.0
501724,34,12000.0
57454-57455-501655,1,4000.0
608651,1,1200.0
608652,1,1200.0
501730,13,6000.0
608654,4,6000.0
608650,1,1200.0
128733,1,1200.0
608659,2,6000.0
128735,1,1200.0
265247-304393,3,2000.0
608655,2,6000.0
476212,2,1200.0
608656,2,6000.0
476213,5,1200.0
476214,2,1200.0
608658,2,6000.0
403296,2,2000.0
376514-197861,28,9000.0
501755,24,4000.0
608643,14,4000.0
334287-254683-251708,1,1200.0
438696-176260,2,2000.0
182397-182407-253508,3,1200.0
608644,14,4000.0
51622-188048-188050-51624,1,1200.0
608645,14,4000.0
608646,20,4000.0
608647,26,4000.0
593208-73442,6,1200.0
168337-507778,10,1200.0
501743,4,1200.0
403281,5,6000.0
501744,4,1200.0
501745,2,1200.0
375566-270614-270616-432482,1,1200.0
501746,4,1200.0
608630,1,1200.0
608631,1,1200.0
608632,1,1200.0
608637,2,2000.0
608638,20,2000.0
128714,16,6000.0
608633,1,1200.0
608634,1,1200.0
608635,6,1200.0
128796,2,1200.0
128797,1,1200.0
128798,1,2400.0
310576-310574,1,1200.0
57567-4197-4129,2,3000.0
608608,3,4000.0
608609,3,4000.0
549709,5,1200.0
114141,1,1200.0
608610,3,4000.0
114145,1,1200.0
608611,2,4000.0
608612,2,4000.0
114126,1,1200.0
114129,8,6000.0
501798,2,1200.0
501799,2,1200.0
442893,1,1200.0
442895,1,2000.0
114131,9,6000.0
442896,1,2000.0
114133,8,6000.0
442898,1,1200.0
114134,8,6000.0
442899,2,1200.0
114135,8,6000.0
260605-68538-68536,2,4000.0
128767,1,2000.0
608606,3,4000.0
608607,3,4000.0
128769,1,2000.0
114115,1,1200.0
442890,2,4000.0
501789,1,1200.0
442882,9,1200.0
442883,5,1200.0
501795,2,4000.0
501797,2,1200.0
114121,71,8000.0
501790,1,1200.0
442888,9,1200.0
442889,12,1200.0
365148-109523,5,4000.0
153670,9,6000.0
153671,9,6000.0
153672,8,6000.0
61323,14,6000.0
61324,14,6000.0
61325,15,6000.0
114073,1,2000.0
417887,25,6000.0
114078,1,2000.0
417888,5,6000.0
417889,25,6000.0
75978,15,1200.0
75979,16,1200.0
114070,1,2000.0
114071,1,2000.0
114072,3,2000.0
36350,2,1200.0
36351,2,1200.0
36352,2,1200.0
61331,14,3000.0
153667,12,6000.0
153668,12,6000.0
153669,8,6000.0
61339,3,6000.0
417893,26,6000.0
114062,1,2000.0
417894,6,6000.0
114063,1,2000.0
114064,1,2000.0
114065,1,2000.0
114066,1,2000.0
114067,1,2000.0
114068,1,2000.0
525000-524998,2,2400.0
114069,1,2000.0
403216,1,2400.0
75965,2,4000.0
75966,4,4000.0
75967,5,4000.0
417890,6,6000.0
75968,14,4000.0
417891,26,6000.0
114060,1,2000.0
417892,6,6000.0
114061,1,2000.0
128692,1,1200.0
128693,1,1200.0
153694,1,1200.0
61340,3,6000.0
61341,3,6000.0
153697,1,1200.0
153698,3,1200.0
61342,3,6000.0
61343,3,6000.0
403215,1,2400.0
153699,2,1200.0
128699,1,1200.0
61344,3,6000.0
61345,3,6000.0
588183-588185-588187,5,3000.0
61346,3,6000.0
61347,3,6000.0
75996,1,1200.0
36348,1,1200.0
98341-98343,14,1200.0
36331,9,1200.0
36332,9,1200.0
608590,1,1200.0
328602-608779-608808,6,6000.0
608597,1,1200.0
75980,11,1200.0
608599,1,4000.0
36333,9,1200.0
36338,2,1200.0
564495-564509-459217,2,4000.0
403275,2,2400.0
97722-97720,1,2000.0
153630,1,1200.0
401372-563359,67,12000.0
153638,18,6000.0
403271,1,2400.0
153639,1,1200.0
608586,1,1200.0
608588,1,1200.0
608581,4,1200.0
9884-320806,1,1200.0
36325,4,1200.0
36326,2,1200.0
36327,4,1200.0
36328,2,1200.0
344484,1,1200.0
403264,5,3000.0
403265,4,3000.0
403267,1,2400.0
501807,12,6000.0
344480,1,2000.0
344481,2,4000.0
403269,1,2400.0
153625,1,4000.0
153626,1,4000.0
153627,2,4000.0
153628,2,4000.0
153629,1,4000.0
501801,1,1200.0
608574,6,4000.0
608576,13,4000.0
608577,4,1200.0
542265-542259,4,2000.0
36312,32,3000.0
36313,25,3000.0
608578,3,4000.0
344476,1,2000.0
344478,1,2000.0
344472,9,6000.0
344474,1,2000.0
403254,4,1200.0
403255,5,1200.0
153657,7,1200.0
114096,1,1200.0
417863,1,6000.0
442813,19,2000.0
442814,8,2000.0
114090,3,1200.0
114091,2,1200.0
626041-626042,7,12000.0
114094,2,1200.0
476756-476757-476758,63,12000.0
153640,11,6000.0
153642,13,9000.0
153643,44,12000.0
153644,14,9000.0
232816-232814,1,2000.0
34484-34477,2,1200.0
550568-550566-471063,1,2400.0
608552,1,1200.0
608553,1,1200.0
608556,5,4000.0
344454,3,3000.0
608557,33,6000.0
319494,2,3000.0
212693,1,1200.0
535199,2,1200.0
212691,1,1200.0
50097-50095,1,1200.0
585314-585312,2,2400.0
218386-218388-218390,2,4000.0
212689,1,1200.0
212685,2,1200.0
344443,21,1200.0
212687,1,1200.0
344442,64,6000.0
428256-428257,6,1200.0
187059,5,2000.0
462493-86356-569736,9,12000.0
187058,6,2000.0
187062,6,6000.0
187063,8,6000.0
246003,1,1200.0
344439,53,6000.0
535175,2,1200.0
319473,26,6000.0
535176,2,1200.0
319474,26,6000.0
