time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_car	arrivals_car	stuck_car	en-route_car
00:00:00	0	0	0	0	0	0	0	0	0
00:05:00	300	0	0	0	0	0	0	0	0
00:10:00	600	0	0	0	0	0	0	0	0
00:15:00	900	0	0	0	0	0	0	0	0
00:20:00	1200	0	0	0	0	0	0	0	0
00:25:00	1500	0	0	0	0	0	0	0	0
00:30:00	1800	0	0	0	0	0	0	0	0
00:35:00	2100	0	0	0	0	0	0	0	0
00:40:00	2400	0	0	0	0	0	0	0	0
00:45:00	2700	0	0	0	0	0	0	0	0
00:50:00	3000	0	0	0	0	0	0	0	0
00:55:00	3300	0	0	0	0	0	0	0	0
01:00:00	3600	0	0	0	0	0	0	0	0
01:05:00	3900	0	0	0	0	0	0	0	0
01:10:00	4200	0	0	0	0	0	0	0	0
01:15:00	4500	0	0	0	0	0	0	0	0
01:20:00	4800	0	0	0	0	0	0	0	0
01:25:00	5100	0	0	0	0	0	0	0	0
01:30:00	5400	0	0	0	0	0	0	0	0
01:35:00	5700	0	0	0	0	0	0	0	0
01:40:00	6000	0	0	0	0	0	0	0	0
01:45:00	6300	0	0	0	0	0	0	0	0
01:50:00	6600	0	0	0	0	0	0	0	0
01:55:00	6900	0	0	0	0	0	0	0	0
02:00:00	7200	0	0	0	0	0	0	0	0
02:05:00	7500	0	0	0	0	0	0	0	0
02:10:00	7800	0	0	0	0	0	0	0	0
02:15:00	8100	0	0	0	0	0	0	0	0
02:20:00	8400	0	0	0	0	0	0	0	0
02:25:00	8700	0	0	0	0	0	0	0	0
02:30:00	9000	0	0	0	0	0	0	0	0
02:35:00	9300	0	0	0	0	0	0	0	0
02:40:00	9600	0	0	0	0	0	0	0	0
02:45:00	9900	0	0	0	0	0	0	0	0
02:50:00	10200	0	0	0	0	0	0	0	0
02:55:00	10500	0	0	0	0	0	0	0	0
03:00:00	10800	0	0	0	0	0	0	0	0
03:05:00	11100	0	0	0	0	0	0	0	0
03:10:00	11400	0	0	0	0	0	0	0	0
03:15:00	11700	0	0	0	0	0	0	0	0
03:20:00	12000	0	0	0	0	0	0	0	0
03:25:00	12300	0	0	0	0	0	0	0	0
03:30:00	12600	8	0	0	8	8	0	0	8
03:35:00	12900	1	1	0	8	1	1	0	8
03:40:00	13200	7	4	0	11	7	4	0	11
03:45:00	13500	8	3	0	16	8	3	0	16
03:50:00	13800	5	5	0	16	5	5	0	16
03:55:00	14100	11	6	0	21	11	6	0	21
04:00:00	14400	23	10	0	34	23	10	0	34
04:05:00	14700	15	12	0	37	15	12	0	37
04:10:00	15000	26	15	0	48	26	15	0	48
04:15:00	15300	26	13	0	61	26	13	0	61
04:20:00	15600	24	24	0	61	24	24	0	61
04:25:00	15900	20	17	0	64	20	17	0	64
04:30:00	16200	38	26	0	76	38	26	0	76
04:35:00	16500	34	32	0	78	34	32	0	78
04:40:00	16800	27	25	0	80	27	25	0	80
04:45:00	17100	37	23	0	94	37	23	0	94
04:50:00	17400	37	25	0	106	37	25	0	106
04:55:00	17700	31	29	0	108	31	29	0	108
05:00:00	18000	49	43	0	114	49	43	0	114
05:05:00	18300	35	31	0	118	35	31	0	118
05:10:00	18600	48	41	0	125	48	41	0	125
05:15:00	18900	39	40	0	124	39	40	0	124
05:20:00	19200	57	41	0	140	57	41	0	140
05:25:00	19500	63	34	0	169	63	34	0	169
05:30:00	19800	67	49	0	187	67	49	0	187
05:35:00	20100	67	42	0	212	67	42	0	212
05:40:00	20400	59	53	0	218	59	53	0	218
05:45:00	20700	90	78	0	230	90	78	0	230
05:50:00	21000	100	61	0	269	100	61	0	269
05:55:00	21300	100	67	0	302	100	67	0	302
06:00:00	21600	90	65	0	327	90	65	0	327
06:05:00	21900	96	84	0	339	96	84	0	339
06:10:00	22200	91	77	0	353	91	77	0	353
06:15:00	22500	146	102	0	397	146	102	0	397
06:20:00	22800	149	86	0	460	149	86	0	460
06:25:00	23100	162	108	0	514	162	108	0	514
06:30:00	23400	186	126	0	574	186	126	0	574
06:35:00	23700	192	104	0	662	192	104	0	662
06:40:00	24000	231	141	0	752	231	141	0	752
06:45:00	24300	257	163	0	846	257	163	0	846
06:50:00	24600	303	169	0	980	303	169	0	980
06:55:00	24900	318	177	0	1121	318	177	0	1121
07:00:00	25200	387	187	0	1321	387	187	0	1321
07:05:00	25500	412	209	0	1524	412	209	0	1524
07:10:00	25800	395	214	0	1705	395	214	0	1705
07:15:00	26100	502	225	0	1982	502	225	0	1982
07:20:00	26400	488	258	0	2212	488	258	0	2212
07:25:00	26700	524	288	0	2448	524	288	0	2448
07:30:00	27000	581	310	0	2719	581	310	0	2719
07:35:00	27300	560	294	0	2985	560	294	0	2985
07:40:00	27600	609	311	0	3283	609	311	0	3283
07:45:00	27900	577	316	0	3544	577	316	0	3544
07:50:00	28200	565	338	0	3771	565	338	0	3771
07:55:00	28500	586	334	0	4023	586	334	0	4023
08:00:00	28800	557	375	0	4205	557	375	0	4205
08:05:00	29100	565	350	0	4420	565	350	0	4420
08:10:00	29400	566	370	0	4616	566	370	0	4616
08:15:00	29700	567	391	0	4792	567	391	0	4792
08:20:00	30000	553	417	0	4928	553	417	0	4928
08:25:00	30300	559	396	0	5091	559	396	0	5091
08:30:00	30600	565	397	0	5259	565	397	0	5259
08:35:00	30900	517	400	0	5376	517	400	0	5376
08:40:00	31200	460	381	0	5455	460	381	0	5455
08:45:00	31500	460	341	0	5574	460	341	0	5574
08:50:00	31800	442	383	0	5633	442	383	0	5633
08:55:00	32100	420	373	0	5680	420	373	0	5680
09:00:00	32400	404	354	0	5730	404	354	0	5730
09:05:00	32700	394	336	0	5788	394	336	0	5788
09:10:00	33000	369	344	0	5813	369	344	0	5813
09:15:00	33300	355	327	0	5841	355	327	0	5841
09:20:00	33600	320	325	0	5836	320	325	0	5836
