pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	90	3	1	0	0	0	0	0	0	1	0	1	2
education---errand	5	3	3	5	4	6	3	2	1	3	5	1	27
education---home	143	157	131	103	90	81	73	62	63	49	40	41	812
education---leisure	1	3	3	4	2	5	7	5	8	4	5	5	58
education---shop	0	2	1	2	3	2	5	0	1	1	2	0	22
errand---education	7	10	7	2	2	1	5	3	0	0	2	0	15
errand---errand	834	33	6	7	1	1	4	1	1	0	2	0	5
errand---home	4835	216	32	19	16	15	8	9	10	6	6	2	33
errand---leisure	12	23	41	35	31	30	25	13	13	16	12	19	259
errand---shop	25	71	54	56	46	43	18	38	27	35	18	20	393
errand---work	45	51	58	38	53	56	39	49	38	38	35	38	599
home---education	183	214	170	126	125	89	81	73	51	53	45	45	833
home---errand	5511	226	73	45	25	11	13	9	6	8	7	6	61
home---home	395	13	1	1	1	1	2	0	0	0	0	0	4
home---leisure	99	261	314	259	281	213	204	208	167	196	160	144	2470
home---shop	104	274	317	326	286	244	205	196	204	175	182	150	2501
home---work	604	761	734	720	715	562	518	475	459	396	331	326	5860
leisure---education	1	2	1	2	2	2	2	2	6	2	0	0	14
leisure---errand	12	27	49	41	29	23	21	16	15	17	8	18	178
leisure---home	110	338	433	393	329	318	275	216	198	163	150	152	1952
leisure---leisure	13	81	93	96	73	47	53	43	29	30	29	19	295
leisure---shop	28	57	68	52	37	33	37	29	25	22	11	14	234
leisure---work	31	50	49	43	50	46	44	27	35	26	22	12	320
shop---education	0	0	3	2	1	0	1	1	0	0	0	3	12
shop---errand	10	28	31	35	32	26	20	18	16	12	11	17	175
shop---home	137	397	457	419	357	324	283	231	227	221	184	176	2435
shop---leisure	22	65	55	65	52	41	37	28	22	19	20	13	238
shop---shop	51	107	115	86	78	62	46	44	41	22	15	20	362
shop---work	19	24	33	20	20	25	16	18	12	13	11	13	173
work---errand	32	38	41	52	44	33	40	35	34	29	38	25	551
work---home	259	367	395	361	387	372	393	357	386	365	337	293	5698
work---leisure	22	62	55	48	68	61	44	41	41	30	43	44	628
work---shop	24	48	75	46	57	56	56	54	42	28	37	32	585
work---work	3003	134	33	16	15	15	7	4	4	4	4	4	38

average trip duration: 5417.950475578922 seconds = 01:30:17
