ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	-217.89565659918074	-217.89565659918074	-217.89565659918074	-217.89565659918074
1	-187.02322608972224	-207.4004173581138	-197.19522254259397	-186.9900277270717
2	-159.77963097411322	-197.26933302909586	-178.18208250359763	-159.70204309105105
3	-136.9794437299491	-188.14678448943576	-161.5630349215908	-136.76229553877755
4	-116.36753014714131	-179.09337661798932	-145.97903346494056	-115.97863528874996
5	-99.47773647527454	-170.78331604712977	-132.4298578324944	-98.78949717889195
6	-84.21009853136479	-162.24058302909663	-119.62832705268096	-83.28158763414179
7	-72.68427501659505	-155.0818338588351	-109.46472288486045	-71.58368002544591
8	-61.72755614559138	-147.24879888538638	-99.2220742696004	-60.354643765903326
9	-54.74409475605697	-141.31282076280618	-91.98548300535678	-52.95873589445732
10	-47.651210656599346	-134.44922730667113	-84.58481706586343	-45.77174417800617
11	-42.514321136187455	-128.27147852362128	-78.32065969341228	-40.1500655492863
12	-37.05220433676274	-121.52245692278024	-71.93317936511285	-34.742505185861106
13	-33.1226788084964	-115.42159683040242	-66.73640320186678	-30.86229844285856
14	-31.554717889147046	-111.30903238743271	-63.55086540500434	-28.793865955857928
15	-29.469977873658575	-106.88496376811615	-60.26606686995316	-26.90125193605484
16	-28.42371134804735	-102.98794612235918	-57.898422063419915	-25.951275307003
17	-28.445224098351513	-100.05168844728442	-56.19243458900346	-25.52745222093168
18	-28.414576280561743	-96.70825215731877	-54.63048711371135	-25.371088408562855
19	-27.52215828631461	-93.54755759763324	-52.98067162089288	-25.00474160581928
20	-27.98094645425383	-90.92884486668913	-51.640470323044596	-24.783561096360373
21	-26.977321329792968	-87.37495083803569	-50.00325060732243	-24.501265626728618
22	-27.30252848766443	-84.56176478316218	-48.697712551167484	-24.440003388095928
23	-26.836651178227743	-81.11081037725434	-47.19487714118405	-24.23280866246276
24	-26.86907781557691	-78.03018461666107	-45.87748255821989	-24.03420206881295
25	-26.923520024339066	-75.1816715759487	-44.7471377387798	-23.993304499944735
26	-26.69789578493182	-72.20822864808066	-43.559266004720065	-23.929835850204697
27	-26.98257142659575	-70.03538617380293	-42.63210890539154	-23.81385606814915
28	-26.733831867463245	-67.63599596194301	-41.58277469507117	-23.707798705609143
29	-26.121834688571862	-64.98528287144632	-40.514554442323856	-23.622593691226996
30	-26.39684927812808	-63.079366771766914	-39.71773711486326	-23.48308053988292
31	-26.080178047903594	-61.133215164841474	-38.93052055675388	-23.479970751742584
32	-26.74123603274718	-59.67215724914276	-38.32429791505308	-23.455796963159738
33	-26.07837544252699	-57.63897015709748	-37.4722876793154	-23.33573860493446
34	-26.268090081867232	-56.13649753844472	-36.886043666104136	-23.26958091326472
35	-26.093613853855484	-54.71832717944505	-36.317268681777065	-23.18790000276596
36	-26.020320970240245	-53.36907622524638	-35.79001721705934	-23.239163416860563
37	-27.114588934063487	-53.10131928310675	-35.503151367223296	-23.03375255835849
38	-25.88315604602277	-50.79543865471865	-34.70157476168087	-23.0378759403697
39	-25.706969382675027	-49.497178614891176	-34.17050878484876	-22.96699489711267
40	-25.57858723310096	-48.41441137017398	-33.71666730625626	-22.890841838145974
41	-25.701054735037122	-47.35320437824971	-33.295824765138114	-22.874851062064582
42	-26.176102998119433	-46.59011484954102	-32.96922641355039	-22.810333762031256
43	-26.09256492698317	-45.78869171091938	-32.63088866647282	-22.788916431574386
44	-25.696060474056793	-44.53753740734607	-32.203197354288704	-22.760066102445066
45	-28.12976165781639	-46.33843055094595	-32.61208963703566	-22.640351739683847
46	-26.066421617435413	-44.145413140281235	-31.952701614761892	-22.66221187354804
47	-26.04644637128009	-43.49028038223245	-31.65954014663308	-22.601122496957807
48	-26.190580401593117	-42.76050862927294	-31.448682589565518	-22.66458796603615
49	-25.47850757827184	-41.73480328299567	-31.033861778358567	-22.529069518198916
50	-25.880035263856602	-41.457026012280046	-30.86718052789753	-22.51277754729513
51	-25.47883532470409	-40.395940715233806	-30.5281162243701	-22.52456528653625
52	-25.890311912269183	-40.27917966589202	-30.443372336772267	-22.47192533742688
53	-25.730638414094532	-39.68656025279307	-30.189766590146345	-22.43802059132669
54	-25.200982478703505	-38.8313815825862	-29.867051065752257	-22.40459225301489
55	-25.933199676402058	-38.97187237249671	-29.834414280018088	-22.35129418353811
56	-25.928444241619452	-38.53181090275453	-29.693964694656486	-22.377094603938666
57	-25.5997788057306	-37.84751293008074	-29.515888378369446	-22.40572588228793
58	-26.27771587011817	-38.54574849264265	-29.596797310035893	-22.291296119593014
59	-25.153222770771166	-37.18853710310862	-29.22242940314181	-22.318240955858165
60	-25.40693404967358	-37.217878153003284	-29.145392247022198	-22.252930149906135
61	-25.221894291403856	-36.70856807998651	-28.957875381448826	-22.229354740568663
62	-24.88614600619543	-36.21208727458766	-28.76990600338374	-22.215719036951015
63	-25.141655810930533	-36.07048463602142	-28.705919257292436	-22.220515059741224
64	-25.032579101670382	-35.75329723973855	-28.552544909558737	-22.143545538776497
65	-25.351766304347933	-35.678961237415635	-28.504889028331036	-22.186956729173858
66	-25.090788942360824	-35.22149366633478	-28.355009178974434	-22.19525244772666
67	-24.958055578603897	-34.855046327027196	-28.231717113572525	-22.181114960172774
68	-26.450361074233932	-36.134662642438435	-28.54158729417881	-22.132660830844287
69	-25.184979463989457	-34.910129784821336	-28.22490173369105	-22.20712841575406
70	-25.35678213851095	-35.0091929416972	-28.17506233405254	-22.10509459010955
71	-25.180427868126834	-34.63265841077558	-28.024584693181378	-22.057054154220534
72	-25.340696288306233	-34.50412123852206	-27.9919960783364	-22.081724264299023
73	-25.16010503097675	-34.257398564553675	-27.889066377871806	-22.042111820998024
74	-24.75393987166724	-33.779978357672604	-27.725818841732075	-21.998226781170604
75	-25.76564871667218	-34.620703617656936	-27.944052450953208	-21.999766567098096
76	-25.71928787753053	-34.71165664066822	-27.94097127148088	-21.963148440092944
77	-24.757338131983563	-33.69914488604932	-27.678859830779484	-22.010419225024965
78	-24.746347079322984	-33.453400956964146	-27.591197536370206	-22.01814256278347
79	-24.944771822104187	-33.53480272983728	-27.573915642170927	-21.927465773315745
80	-24.942124474499437	-33.407377198805115	-27.55450496344544	-21.959810128332943
81	-25.117571011727065	-33.608560335767194	-27.551266197173366	-21.881741827082706
82	-25.206717349817513	-33.48954689401487	-27.566838756591636	-21.976803573404165
83	-25.202020480694735	-33.54933157705485	-27.547337624921724	-21.92039806671097
84	-25.939555260537688	-34.080804292510095	-27.71442610378176	-22.021786218055375
85	-25.36947318563981	-33.56128816793885	-27.541231463427184	-21.96886678559588
86	-26.512407138510913	-34.59824143987162	-27.81449238485088	-21.938889741675055
87	-25.33236959287527	-33.573354768226615	-27.509233667994245	-21.900628111517015
88	-24.83124979256561	-33.07004107202119	-27.351783014345198	-21.925180398827482
89	-25.593293782497952	-33.70701992753609	-27.490336268530907	-21.89281281115181
