Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	13:38:09	13:38:09	13:38:09			13:38:09	13:38:09	13:38:14	13:38:14	13:38:14	13:38:14	13:38:14	13:39:26	13:39:26	13:39:26	13:39:26	13:39:26	13:39:26			13:39:30	13:39:30		00:00:00		00:00:04	00:00:04	00:00:00	00:01:11	00:00:00	00:00:00		00:00:04	00:01:20
1	13:39:30	13:39:30	13:39:30	13:39:30	13:39:49	13:39:49	13:39:50	13:39:54	13:39:54	13:39:54	13:39:54	13:39:54	13:41:11	13:41:11	13:41:11	13:41:11	13:41:12	13:41:12			13:41:12	13:41:12		00:00:00	00:00:18	00:00:04	00:00:04	00:00:00	00:01:17	00:00:00	00:00:00		00:00:00	00:01:41
2	13:41:13	13:41:13	13:41:13	13:41:13	13:41:35	13:41:35			13:41:35	13:41:35	13:41:35	13:41:35	13:43:05	13:43:05	13:43:05	13:43:05	13:43:05	13:43:05			13:43:06	13:43:06		00:00:00	00:00:22		00:00:00	00:00:00	00:01:30	00:00:00	00:00:00		00:00:00	00:01:53
3	13:43:06	13:43:06	13:43:06	13:43:06	13:43:29	13:43:29			13:43:29	13:43:29	13:43:29	13:43:29	13:45:06	13:45:06	13:45:06	13:45:06	13:45:06	13:45:06			13:45:07	13:45:07		00:00:00	00:00:22		00:00:00	00:00:00	00:01:36	00:00:00	00:00:00		00:00:00	00:02:00
4	13:45:07	13:45:07	13:45:07	13:45:07	13:45:31	13:45:31			13:45:31	13:45:31	13:45:31	13:45:31	13:47:17	13:47:17	13:47:17	13:47:17	13:47:17	13:47:17			13:47:17	13:47:17		00:00:00	00:00:24		00:00:00	00:00:00	00:01:45	00:00:00	00:00:00		00:00:00	00:02:10
5	13:47:17	13:47:17	13:47:17	13:47:17	13:47:45	13:47:45			13:47:45	13:47:45	13:47:46	13:47:46	13:49:56	13:49:56	13:49:56	13:49:56	13:49:56	13:49:56			13:49:56	13:49:56		00:00:00	00:00:27		00:00:00	00:00:00	00:02:09	00:00:00	00:00:00		00:00:00	00:02:38
6	13:49:56	13:49:56	13:49:56	13:49:56	13:50:25	13:50:25			13:50:25	13:50:25	13:50:26	13:50:26	13:52:42	13:52:42	13:52:42	13:52:42	13:52:42	13:52:42			13:52:44	13:52:44		00:00:00	00:00:28		00:00:00	00:00:00	00:02:16	00:00:00	00:00:00		00:00:01	00:02:47
7	13:52:44	13:52:44	13:52:44	13:52:44	13:53:21	13:53:21			13:53:21	13:53:21	13:53:21	13:53:21	13:55:49	13:55:49	13:55:49	13:55:49	13:55:49	13:55:49			13:55:52	13:55:52		00:00:00	00:00:36		00:00:00	00:00:00	00:02:27	00:00:00	00:00:00		00:00:03	00:03:08
8	13:55:52	13:55:52	13:55:52	13:55:52	13:56:24	13:56:24			13:56:24	13:56:24	13:56:25	13:56:25	13:59:07	13:59:07	13:59:07	13:59:07	13:59:07	13:59:07			13:59:09	13:59:09		00:00:00	00:00:32		00:00:00	00:00:00	00:02:42	00:00:00	00:00:00		00:00:01	00:03:16
9	13:59:09	13:59:09	13:59:09	13:59:09	13:59:46	13:59:46			13:59:47	13:59:47	13:59:47	13:59:47	14:02:30	14:02:30	14:02:30	14:02:30	14:02:30	14:02:30			14:02:33	14:02:33		00:00:00	00:00:37		00:00:00	00:00:00	00:02:43	00:00:00	00:00:00		00:00:02	00:03:24
