ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	-146.05494599789972	-146.05494599789972	-146.05494599789972	-146.05494599789972
1	-118.126754757164	-131.85783562894144	-124.9768994772654	-118.0959633255896
2	-94.83020148799743	-119.78317900210335	-107.06994587113392	-94.79646462551281
3	-75.28649919792063	-108.88639686359181	-91.42305318734687	-75.22403729671485
4	-58.38735237581574	-98.88075153501545	-77.47234143941165	-58.28196793063387
5	-44.46004245491725	-89.83219638510967	-65.4016223736498	-44.31818792178303
6	-32.897911135081095	-81.4059131264522	-54.84259826630944	-32.709718165726116
7	-24.7368315770549	-74.66198590828688	-46.90739458872672	-24.49991944628824
8	-18.68483799369418	-69.00223849430284	-40.66255169727455	-18.39930737636929
9	-14.188237775196248	-64.37104374101146	-35.74446584476503	-13.827095433676233
10	-11.947727209868285	-61.02127717391338	-32.71991201322057	-11.539925600176874
11	-10.366066005642123	-57.896991509017305	-30.23742847544902	-9.919596401703613
12	-9.702455747317149	-55.52038707268552	-28.56344220760972	-9.186900791016633
13	-9.330802287310407	-53.4243203064498	-27.18767067245649	-8.792097853744737
14	-9.038920165394295	-51.070873506471855	-25.91874805818311	-8.486786840358324
15	-8.898790103993688	-48.97225156267304	-24.802555995777645	-8.294874571301968
16	-8.77825513054524	-46.850241937714436	-23.74004865490306	-8.156716174355417
17	-8.656332420621714	-44.75080892521281	-22.794239216865815	-8.039533894789166
18	-8.58173691780053	-42.99484103606599	-21.91375890239539	-7.950396338090358
19	-8.547289523177282	-41.120189111074055	-21.067502639027495	-7.902433897554947
20	-8.535806297709808	-39.16668519747743	-20.213665193882182	-7.859352251355078
21	-8.484024228343799	-37.46173961444831	-19.437653743500498	-7.804298110963477
22	-8.446395273260245	-35.74340897776316	-18.721269279880055	-7.756723365416414
23	-8.41805122248038	-34.4504658977763	-18.102967136620997	-7.712680537116863
24	-8.416374875539267	-33.04703112899654	-17.45821727952034	-7.686530105653201
25	-8.401567167275056	-31.372408175683173	-16.78217059409243	-7.648053227679944
26	-8.359262777962037	-30.01042510233425	-16.181380049876584	-7.600715441420422
