Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	13:47:20	13:47:20	13:47:20			13:47:20	13:47:20	13:47:24	13:47:24	13:47:24	13:47:24	13:47:24	13:48:09	13:48:09	13:48:09	13:48:09	13:48:09	13:48:09			13:48:14	13:48:14		00:00:00		00:00:03	00:00:04	00:00:00	00:00:45	00:00:00	00:00:00		00:00:05	00:00:54
1	13:48:15	13:48:15	13:48:15	13:48:15	13:48:29	13:48:29	13:48:29	13:48:34	13:48:34	13:48:34	13:48:34	13:48:34	13:49:19	13:49:19	13:49:19	13:49:19	13:49:19	13:49:19			13:49:20	13:49:20		00:00:00	00:00:14	00:00:05	00:00:05	00:00:00	00:00:44	00:00:00	00:00:00		00:00:00	00:01:05
2	13:49:20	13:49:20	13:49:20	13:49:20	13:49:34	13:49:34			13:49:34	13:49:34	13:49:35	13:49:35	13:50:22	13:50:22	13:50:22	13:50:22	13:50:22	13:50:22			13:50:22	13:50:22		00:00:00	00:00:13		00:00:00	00:00:00	00:00:46	00:00:00	00:00:00		00:00:00	00:01:02
3	13:50:22	13:50:22	13:50:22	13:50:22	13:50:37	13:50:37			13:50:37	13:50:37	13:50:38	13:50:38	13:51:29	13:51:29	13:51:29	13:51:29	13:51:29	13:51:29			13:51:31	13:51:31		00:00:00	00:00:14		00:00:00	00:00:00	00:00:51	00:00:00	00:00:00		00:00:01	00:01:08
4	13:51:31	13:51:31	13:51:31	13:51:31	13:51:47	13:51:47			13:51:47	13:51:47	13:51:47	13:51:47	13:52:40	13:52:40	13:52:40	13:52:40	13:52:40	13:52:40			13:52:41	13:52:41		00:00:00	00:00:15		00:00:00	00:00:00	00:00:52	00:00:00	00:00:00		00:00:01	00:01:10
5	13:52:41	13:52:41	13:52:41	13:52:41	13:52:57	13:52:57			13:52:57	13:52:57	13:52:57	13:52:57	13:53:52	13:53:52	13:53:52	13:53:52	13:53:53	13:53:53			13:53:54	13:53:54		00:00:00	00:00:15		00:00:00	00:00:00	00:00:55	00:00:00	00:00:00		00:00:01	00:01:12
6	13:53:54	13:53:54	13:53:54	13:53:54	13:54:10	13:54:10			13:54:10	13:54:10	13:54:11	13:54:11	13:55:27	13:55:27	13:55:27	13:55:27	13:55:27	13:55:27			13:55:28	13:55:28		00:00:00	00:00:16		00:00:00	00:00:00	00:01:16	00:00:00	00:00:00		00:00:01	00:01:34
7	13:55:29	13:55:29	13:55:29	13:55:29	13:55:45	13:55:45			13:55:45	13:55:45	13:55:46	13:55:46	13:56:47	13:56:47	13:56:47	13:56:47	13:56:47	13:56:47			13:56:49	13:56:49		00:00:00	00:00:16		00:00:00	00:00:00	00:01:01	00:00:00	00:00:00		00:00:01	00:01:20
8	13:56:49	13:56:49	13:56:49	13:56:49	13:57:05	13:57:05			13:57:05	13:57:05	13:57:06	13:57:06	13:58:02	13:58:02	13:58:02	13:58:02	13:58:02	13:58:02			13:58:04	13:58:04		00:00:00	00:00:16		00:00:00	00:00:00	00:00:56	00:00:00	00:00:00		00:00:01	00:01:15
9	13:58:04	13:58:04	13:58:04	13:58:04	13:58:22	13:58:22			13:58:22	13:58:22	13:58:23	13:58:23	13:59:22	13:59:22	13:59:22	13:59:22	13:59:22	13:59:22			13:59:24	13:59:24		00:00:00	00:00:17		00:00:00	00:00:00	00:00:59	00:00:00	00:00:00		00:00:02	00:01:20
10	13:59:25	13:59:25	13:59:25	13:59:25	13:59:42	13:59:42			13:59:42	13:59:42	13:59:42	13:59:42	14:00:44	14:00:44	14:00:44	14:00:44	14:00:44	14:00:44	14:00:44	14:00:44	14:01:03	14:01:03		00:00:00	00:00:17		00:00:00	00:00:00	00:01:01	00:00:00	00:00:00	00:00:00	00:00:18	00:01:38
11	14:01:03	14:01:03	14:01:04	14:01:04	14:01:22	14:01:22			14:01:22	14:01:22	14:01:22	14:01:22	14:02:22	14:02:22	14:02:22	14:02:22	14:02:22	14:02:22			14:02:22	14:02:22		00:00:00	00:00:18		00:00:00	00:00:00	00:00:59	00:00:00	00:00:00		00:00:00	00:01:19
12	14:02:23	14:02:23	14:02:23	14:02:23	14:02:42	14:02:42			14:02:42	14:02:42	14:02:42	14:02:42	14:03:37	14:03:37	14:03:37	14:03:37	14:03:37	14:03:37			14:03:38	14:03:38		00:00:00	00:00:18		00:00:00	00:00:00	00:00:54	00:00:00	00:00:00		00:00:00	00:01:15
13	14:03:38	14:03:38	14:03:38	14:03:38	14:03:56	14:03:56			14:03:56	14:03:56	14:03:57	14:03:57	14:05:01	14:05:01	14:05:01	14:05:01	14:05:01	14:05:01			14:05:01	14:05:01		00:00:00	00:00:18		00:00:00	00:00:00	00:01:04	00:00:00	00:00:00		00:00:00	00:01:23
14	14:05:02	14:05:02	14:05:02	14:05:02	14:05:19	14:05:19			14:05:19	14:05:19	14:05:20	14:05:20	14:06:21	14:06:21	14:06:21	14:06:21	14:06:21	14:06:21			14:06:22	14:06:22		00:00:00	00:00:17		00:00:00	00:00:00	00:01:01	00:00:00	00:00:00		00:00:00	00:01:20
15	14:06:22	14:06:22	14:06:22	14:06:22	14:06:44	14:06:44			14:06:44	14:06:44	14:06:45	14:06:45	14:07:51	14:07:51	14:07:51	14:07:51	14:07:51	14:07:51			14:07:51	14:07:51		00:00:00	00:00:22		00:00:00	00:00:00	00:01:05	00:00:00	00:00:00		00:00:00	00:01:29
16	14:07:51	14:07:51	14:07:51	14:07:51	14:08:10	14:08:10			14:08:10	14:08:10	14:08:11	14:08:11	14:09:12	14:09:12	14:09:12	14:09:12	14:09:12	14:09:12			14:09:13	14:09:13		00:00:00	00:00:18		00:00:00	00:00:00	00:01:01	00:00:00	00:00:00		00:00:01	00:01:22
17	14:09:13	14:09:13	14:09:14	14:09:14	14:09:30	14:09:30			14:09:31	14:09:31	14:09:31	14:09:31	14:10:35	14:10:35	14:10:35	14:10:35	14:10:35	14:10:35			14:10:36	14:10:36		00:00:00	00:00:16		00:00:00	00:00:00	00:01:03	00:00:00	00:00:00		00:00:01	00:01:23
18	14:10:37	14:10:37	14:10:37	14:10:37	14:10:53	14:10:53			14:10:53	14:10:53	14:10:54	14:10:54	14:11:53	14:11:53	14:11:53	14:11:53	14:11:53	14:11:53			14:11:55	14:11:55		00:00:00	00:00:16		00:00:00	00:00:00	00:00:59	00:00:00	00:00:00		00:00:01	00:01:18
19	14:11:55	14:11:55	14:11:55	14:11:55	14:12:12	14:12:12			14:12:12	14:12:12	14:12:12	14:12:12	14:13:21	14:13:21	14:13:21	14:13:21	14:13:21	14:13:21			14:13:23	14:13:23		00:00:00	00:00:16		00:00:00	00:00:00	00:01:08	00:00:00	00:00:00		00:00:02	00:01:27
20	14:13:23	14:13:23	14:13:23	14:13:23	14:13:40	14:13:40			14:13:40	14:13:40	14:13:40	14:13:40	14:14:44	14:14:44	14:14:44	14:14:44	14:14:44	14:14:44	14:14:44	14:14:44	14:15:05	14:15:05		00:00:00	00:00:17		00:00:00	00:00:00	00:01:03	00:00:00	00:00:00	00:00:00	00:00:21	00:01:42
21	14:15:06	14:15:06	14:15:08	14:15:08	14:15:29	14:15:29			14:15:29	14:15:29	14:15:30	14:15:30	14:16:31	14:16:31	14:16:31	14:16:31	14:16:32	14:16:32			14:16:32	14:16:32		00:00:02	00:00:21		00:00:00	00:00:00	00:01:01	00:00:00	00:00:00		00:00:00	00:01:26
22	14:16:32	14:16:32	14:16:32	14:16:32	14:16:50	14:16:50			14:16:50	14:16:50	14:16:50	14:16:50	14:17:52	14:17:52	14:17:52	14:17:52	14:17:52	14:17:52			14:17:52	14:17:52		00:00:00	00:00:17		00:00:00	00:00:00	00:01:01	00:00:00	00:00:00		00:00:00	00:01:19
23	14:17:52	14:17:52	14:17:52	14:17:52	14:18:10	14:18:10			14:18:10	14:18:10	14:18:10	14:18:10	14:19:07	14:19:07	14:19:07	14:19:07	14:19:07	14:19:07			14:19:07	14:19:07		00:00:00	00:00:17		00:00:00	00:00:00	00:00:56	00:00:00	00:00:00		00:00:00	00:01:15
24	14:19:07	14:19:07	14:19:07	14:19:07	14:19:27	14:19:27			14:19:27	14:19:27	14:19:27	14:19:27	14:20:27	14:20:27	14:20:27	14:20:27	14:20:27	14:20:27			14:20:27	14:20:27		00:00:00	00:00:19		00:00:00	00:00:00	00:00:59	00:00:00	00:00:00		00:00:00	00:01:19
25	14:20:27	14:20:27	14:20:27	14:20:27	14:20:46	14:20:46			14:20:46	14:20:46	14:20:46	14:20:46	14:21:45	14:21:45	14:21:45	14:21:45	14:21:45	14:21:45			14:21:46	14:21:46		00:00:00	00:00:18		00:00:00	00:00:00	00:00:58	00:00:00	00:00:00		00:00:00	00:01:18
26	14:21:46	14:21:46	14:21:46	14:21:46	14:22:04	14:22:04			14:22:04	14:22:04	14:22:04	14:22:04	14:23:03	14:23:03	14:23:03	14:23:03	14:23:03	14:23:03			14:23:05	14:23:05		00:00:00	00:00:17		00:00:00	00:00:00	00:00:58	00:00:00	00:00:00		00:00:01	00:01:18
27	14:23:05	14:23:05	14:23:05	14:23:05	14:23:23	14:23:23			14:23:23	14:23:23	14:23:23	14:23:23	14:24:17	14:24:17	14:24:17	14:24:17	14:24:17	14:24:17			14:24:19	14:24:19		00:00:00	00:00:17		00:00:00	00:00:00	00:00:54	00:00:00	00:00:00		00:00:01	00:01:14
28	14:24:19	14:24:19	14:24:19	14:24:19	14:24:37	14:24:37			14:24:37	14:24:37	14:24:38	14:24:38	14:25:34	14:25:34	14:25:34	14:25:34	14:25:34	14:25:34			14:25:36	14:25:36		00:00:00	00:00:17		00:00:00	00:00:00	00:00:56	00:00:00	00:00:00		00:00:01	00:01:17
29	14:25:36	14:25:36	14:25:36	14:25:36	14:25:54	14:25:54			14:25:54	14:25:54	14:25:54	14:25:54	14:26:52	14:26:52	14:26:52	14:26:52	14:26:52	14:26:52			14:26:54	14:26:54		00:00:00	00:00:17		00:00:00	00:00:00	00:00:57	00:00:00	00:00:00		00:00:01	00:01:17
