ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	-147.3677223005874	-147.3677223005874	-147.3677223005874	-147.3677223005874
1	-119.23414052992747	-133.04370802909753	-126.13224288500007	-119.22077774090222
2	-95.658686939928	-120.70098987719966	-107.940493567228	-95.61683579488998
3	-75.83748720820965	-109.41486558247632	-91.97708823685441	-75.7872732050014
4	-59.207498617104335	-99.56095288472248	-78.24061642028143	-59.11198611572141
5	-44.56283742670598	-89.93055495630115	-65.58184207554345	-44.41443743776925
6	-34.22884396780585	-82.4426465870129	-56.10593675669384	-34.02141062340934
7	-25.533585227901355	-75.13918457517516	-47.60728677467107	-25.254059699635068
8	-19.229364766567063	-69.57915242283532	-41.29452891060013	-18.890175351255724
9	-14.20201494910943	-64.53295020190346	-35.85822164716709	-13.812306601947093
10	-11.60668941531133	-60.82675849098378	-32.4473664064517	-11.12472653224904
11	-10.541325436995077	-58.24531778957889	-30.406869618228168	-10.001363190065108
12	-10.029357437216404	-56.20190016871358	-28.944206004305432	-9.472552895784808
13	-9.587880987941027	-53.92288022734831	-27.525576840634923	-9.00920490375028
14	-9.37294231939361	-51.69012577442206	-26.23980271255125	-8.766854533134115
15	-9.27193688461104	-49.185721733599	-25.039860753862815	-8.601598628166771
16	-9.127666154994936	-46.58754446011717	-23.870329198473335	-8.464323072242406
17	-9.008117255780352	-44.48323570085148	-22.867270888649283	-8.356704212302107
18	-8.936096152782294	-42.61444469797512	-21.957905465206437	-8.271209965150913
19	-8.879169709038505	-40.84563177619188	-21.11411729150538	-8.217166099679062
20	-8.859877821108455	-38.807619136519314	-20.256190057205934	-8.152287517977554
21	-8.827307431684808	-37.295379397610226	-19.56300684303203	-8.105880628388004
22	-8.704351698196636	-35.709598476047894	-18.829653521084612	-8.024493929084963
23	-8.701267908507418	-34.30308814581227	-18.19300688336677	-7.980084840690216
24	-8.702386118486489	-32.877282746985095	-17.545621761717864	-7.957421589777512
25	-8.681159973448269	-31.094895729616027	-16.817743695145136	-7.915160969133606
26	-8.63148122026764	-29.349581466422997	-16.169233708328818	-7.871647790131575
27	-8.638974098351579	-28.038255130545455	-15.630748769222258	-7.852311234649757
28	-8.638056754065655	-26.724425129992184	-15.104679865259763	-7.834557542316503
29	-8.62143786646748	-25.452099513220613	-14.62987847798448	-7.802562783493639
30	-8.599428241508939	-24.411003982741505	-14.196321559123366	-7.77324766290509
31	-8.575751189290775	-23.455013068370437	-13.80579734345622	-7.731651731386131
32	-8.548707475937489	-22.511209342847845	-13.409443124930831	-7.708740942028823
33	-8.520276095253772	-21.541655326916935	-13.004426593557595	-7.678009873879736
34	-8.518192277906772	-20.65641933565682	-12.679563604012237	-7.665358861599612
35	-8.517270370062938	-19.87499474499416	-12.364165767784002	-7.644873741564212
36	-8.495957102555504	-19.0271742587678	-12.049821375889666	-7.625616840911483
37	-8.45919771268939	-18.470280451377548	-11.790305101504586	-7.600836583139612
38	-8.459403349374847	-17.73821793063414	-11.506122335619677	-7.586583070582883
39	-8.481910747870243	-17.21942326308239	-11.291602920907476	-7.573468926319155
40	-8.43989448500929	-16.629201999668236	-11.034085427268769	-7.547501037172135
41	-8.432633380351731	-15.940058496515123	-10.778889234612787	-7.539023882619666
42	-8.450319172474725	-15.456592820002303	-10.583610690480064	-7.527982077663356
43	-8.46018178172362	-14.920059741121735	-10.385676714560873	-7.515970240070745
44	-8.399004038057205	-14.452651358004218	-10.206345004978429	-7.498605003318796
45	-8.423303324482754	-14.119239614448508	-10.071696969382613	-7.491944836264974
46	-8.408716119039667	-13.707148536895748	-9.910073270457577	-7.482143351034319
47	-8.425982340413702	-13.231021338090423	-9.734969403418345	-7.4728164758268525
48	-8.396253318951127	-12.800409683040014	-9.586095876202984	-7.4605833748200885
49	-8.395121487443227	-12.535440245049129	-9.476259870422547	-7.446085781059728
50	-8.34637653501486	-12.132506430467862	-9.333229771683746	-7.434813723863128
51	-8.379031903418449	-11.883193799092782	-9.229581541330104	-7.421130794335551
52	-8.348989102776722	-11.634792012390655	-9.137736308173823	-7.41661536121237
53	-8.371006195375491	-11.442943494855504	-9.059963007522896	-7.4110250027657
54	-8.354793464431829	-11.228684796437559	-8.97839864061284	-7.395654663126365
55	-8.332648937935556	-10.998414371058628	-8.896294759744682	-7.392386533355375
56	-8.337491426042623	-10.841167717667778	-8.838313673156966	-7.383862291182562
57	-8.342990859055067	-10.709086112954845	-8.79067202423747	-7.37112187465413
58	-8.36638974167486	-10.637297543976	-8.751989261809813	-7.369881762362992
59	-8.31981655880071	-10.488853164066708	-8.696316384786167	-7.360997552273388
60	-8.305790325257142	-10.399458042924985	-8.653777024099133	-7.350931380683609
61	-8.270058358225427	-10.29427314968463	-8.606906760519145	-7.340570168160063
62	-8.248525625069064	-10.177764202345278	-8.557112310773542	-7.329982160637134
63	-8.268893475495037	-10.104564041929317	-8.5257420564129	-7.325314124903107
64	-8.310088228786313	-10.04881043256989	-8.503289979533045	-7.326833582254553
65	-8.274613480473462	-9.944500082973684	-8.453647976822563	-7.314370713021242
66	-8.252848628166744	-9.789961970350667	-8.401575113166949	-7.309816074786922
