Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	19:49:42	19:49:42	19:49:42			19:49:42	19:49:43	19:49:48	19:49:48	19:49:48	19:49:49	19:49:49	19:50:40	19:50:40	19:50:40	19:50:40	19:50:40	19:50:40			19:50:45	19:50:45		00:00:00		00:00:05	00:00:06	00:00:00	00:00:51	00:00:00	00:00:00		00:00:04	00:01:02
1	19:50:45	19:50:45	19:50:45	19:50:45	19:50:56	19:50:56	19:50:56	19:51:01	19:51:01	19:51:01	19:51:01	19:51:01	19:51:44	19:51:44	19:51:44	19:51:44	19:51:44	19:51:44			19:51:44	19:51:44		00:00:00	00:00:10	00:00:04	00:00:04	00:00:00	00:00:42	00:00:00	00:00:00		00:00:00	00:00:58
2	19:51:44	19:51:44	19:51:44	19:51:44	19:51:59	19:51:59			19:51:59	19:51:59	19:52:00	19:52:00	19:52:42	19:52:42	19:52:42	19:52:42	19:52:42	19:52:42			19:52:43	19:52:43		00:00:00	00:00:14		00:00:00	00:00:00	00:00:42	00:00:00	00:00:00		00:00:00	00:00:58
3	19:52:43	19:52:43	19:52:43	19:52:43	19:52:59	19:52:59			19:52:59	19:52:59	19:52:59	19:52:59	19:53:48	19:53:48	19:53:48	19:53:48	19:53:48	19:53:48			19:53:48	19:53:48		00:00:00	00:00:15		00:00:00	00:00:00	00:00:48	00:00:00	00:00:00		00:00:00	00:01:05
4	19:53:48	19:53:48	19:53:48	19:53:48	19:54:05	19:54:05			19:54:06	19:54:06	19:54:06	19:54:06	19:54:54	19:54:54	19:54:54	19:54:54	19:54:54	19:54:54			19:54:55	19:54:55		00:00:00	00:00:16		00:00:00	00:00:00	00:00:48	00:00:00	00:00:00		00:00:00	00:01:06
5	19:54:55	19:54:55	19:54:55	19:54:55	19:55:12	19:55:12			19:55:12	19:55:12	19:55:12	19:55:12	19:56:08	19:56:08	19:56:08	19:56:08	19:56:08	19:56:08			19:56:09	19:56:09		00:00:00	00:00:17		00:00:00	00:00:00	00:00:55	00:00:00	00:00:00		00:00:00	00:01:14
6	19:56:09	19:56:09	19:56:09	19:56:09	19:56:28	19:56:28			19:56:28	19:56:28	19:56:29	19:56:29	19:57:28	19:57:28	19:57:28	19:57:28	19:57:28	19:57:28			19:57:29	19:57:29		00:00:00	00:00:19		00:00:00	00:00:00	00:00:58	00:00:00	00:00:00		00:00:01	00:01:20
7	19:57:29	19:57:29	19:57:29	19:57:29	19:57:47	19:57:47			19:57:47	19:57:47	19:57:47	19:57:47	19:58:51	19:58:51	19:58:51	19:58:51	19:58:51	19:58:51			19:58:53	19:58:53		00:00:00	00:00:17		00:00:00	00:00:00	00:01:03	00:00:00	00:00:00		00:00:01	00:01:23
8	19:58:53	19:58:53	19:58:53	19:58:53	19:59:11	19:59:11			19:59:12	19:59:12	19:59:12	19:59:12	20:00:16	20:00:16	20:00:16	20:00:16	20:00:16	20:00:16			20:00:17	20:00:17		00:00:00	00:00:18		00:00:00	00:00:00	00:01:03	00:00:00	00:00:00		00:00:01	00:01:24
9	20:00:17	20:00:17	20:00:17	20:00:17	20:00:37	20:00:37			20:00:37	20:00:37	20:00:38	20:00:38	20:01:44	20:01:44	20:01:44	20:01:44	20:01:44	20:01:44			20:01:46	20:01:46		00:00:00	00:00:19		00:00:00	00:00:00	00:01:06	00:00:00	00:00:00		00:00:01	00:01:28
