ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	-218.38141843677317	-218.38141843677317	-218.38141843677317	-218.38141843677317
1	-187.38188793008143	-207.93396358834013	-197.63926537089418	-187.34456715344695
2	-161.08729892687387	-198.56411494634375	-179.46959460393916	-161.00817063558083
3	-137.78492290352915	-188.8743283963932	-162.3211398062112	-137.59054693550195
4	-117.9426503899767	-180.27138960338564	-147.33646533424604	-117.51221021407257
5	-100.71455290961417	-171.57226179610632	-133.45007948196854	-100.0110861267844
6	-86.91261222203796	-164.23643911107484	-121.92200819020407	-85.9946221235762
7	-74.95648868790889	-156.7435317789582	-111.35244550236098	-73.75068785263932
8	-65.13528439263246	-149.0375773730504	-101.79812708010715	-63.34231856400104
9	-57.25569615001676	-142.81820811207038	-93.9369493652515	-55.04125587730966
10	-50.76925302854308	-136.45722701626417	-86.92084936340693	-48.266057016816184
11	-45.68477521020026	-131.04929278681342	-81.20361007393959	-42.98433586403355
12	-40.42745464099991	-124.991896849763	-75.24929252175765	-37.83738674078954
13	-36.398100937603324	-119.2038824123249	-70.16435748907548	-33.696269706272474
14	-33.04520453036824	-113.94229865029376	-65.90059912831477	-30.51985168436758
15	-31.491832199358367	-109.32344873603323	-62.52361947763443	-28.29874287808376
16	-30.68260178117033	-105.72082109470139	-60.50536714169161	-27.673305813695965
17	-30.446730418187812	-102.33232098406947	-58.547461290426746	-27.037456023896322
18	-29.789319684146164	-99.1556879909291	-56.9275498649368	-26.713561580373867
19	-28.630184824095657	-95.49014181601963	-54.88201332996864	-26.117116107976567
20	-29.215543823984742	-92.8197389783168	-53.64161852458829	-26.02393558468848
21	-29.464306823210443	-90.12179009016471	-52.326587138603344	-25.74084951322057
22	-28.29343151897337	-86.88264202345418	-50.800222087389834	-25.528004065715326
23	-28.96441558800742	-84.85874896282814	-49.760586290426644	-25.32022064111073
24	-27.89134790906068	-81.64542489490029	-48.353994513359034	-25.204886671645145
25	-27.55433185363416	-78.79418678780898	-47.08516017973066	-25.068340178670205
26	-27.89258802135196	-76.38867276523985	-46.036239766567014	-24.912403957849595
27	-27.439608363757102	-73.86933780008918	-44.852808645176275	-24.70544985617895
28	-28.02776890419269	-71.55607022347672	-43.936522401768244	-24.734237885828268
29	-28.01102043920799	-69.45531661411725	-43.10433907350526	-24.701535153225084
30	-27.35645425378914	-67.2737215814808	-42.14699619933967	-24.592082711030148
31	-28.016088339417855	-66.08569497455532	-41.51074424023653	-24.400648785816955
32	-27.19982499446819	-63.4069238853857	-40.419771170990465	-24.27005856566011
33	-27.176876452041043	-61.1695722701625	-39.587366250875625	-24.201303725522866
34	-27.01719507135731	-59.52716464763785	-38.868469323901735	-24.15673318398072
35	-27.00331991923895	-57.68462039495538	-38.16462623769224	-24.03833471622987
36	-26.73944995298165	-55.96556325367851	-37.49010074399836	-24.07925385828077
37	-27.154423539661355	-54.83683192277911	-36.964988343336174	-24.000774491094287
38	-27.660764603385207	-53.7334785374487	-36.55109985779223	-24.00785976048242
39	-27.54863853855495	-52.63321793063402	-36.08651172465587	-23.9298114420844
40	-26.610664758269866	-51.07914765184214	-35.43619494920141	-23.790720834716318
41	-28.032809008186767	-51.13280396061527	-35.3724995620829	-23.827631720876308
42	-26.76589162241403	-49.276753789135945	-34.68644961532403	-23.782750649961503
43	-26.586437797322617	-47.93307991757954	-34.16028658221751	-23.716566268392402
44	-26.984550766124595	-47.462817443854554	-33.90942026680678	-23.620525154884486
45	-26.517468815687394	-46.31920815355694	-33.49559258260485	-23.638055025445254
46	-27.256281184312442	-45.91004964597851	-33.33126628936607	-23.616152782387495
47	-26.77734421672759	-44.89188163790241	-32.9167487588502	-23.529801969244325
48	-27.09703036840347	-44.33912262141827	-32.72514378088451	-23.516655741785595
49	-26.656229878858223	-43.74056857782941	-32.41638261975868	-23.31263925766138
50	-26.38116771766796	-42.9613684450714	-32.16044828313421	-23.396082807832816
51	-27.184912946675556	-42.97883076114597	-32.11763830691986	-23.382203023011524
52	-26.781211002323296	-42.018445140502045	-31.848943956973013	-23.512356178780955
53	-26.30099734483919	-41.20624087288415	-31.467113774338976	-23.34869357782957
54	-27.489925461886934	-41.858496376811644	-31.56397417902037	-23.343255614559318
55	-26.556375912711452	-40.575845157096914	-31.147900907410147	-23.257477043920797
56	-26.28310301194834	-39.823323791348585	-30.94822323749855	-23.440239171921824
57	-27.1908253125345	-40.2912913486005	-30.974320456263488	-23.23208589169169
58	-26.493604657594783	-39.36690321108523	-30.70065859285667	-23.307403750415023
59	-26.91329481967013	-39.581624211748924	-30.680891276689863	-23.217157387432238
60	-26.91493839196814	-39.19765868735485	-30.591948045737052	-23.182787849872888
61	-26.139993569532113	-38.682459550282005	-30.338345485534727	-23.07368970571978
62	-26.479892825533746	-38.7275515128884	-30.272327460633367	-23.052485203009326
63	-26.270187728178097	-38.06677155935386	-30.085853748340238	-23.10027270715806
64	-26.742772084854302	-38.1960821163843	-30.131421548290707	-23.15536522292297
65	-26.696291763469187	-38.37616502101989	-30.090584844147383	-22.994303642549024
66	-27.132990859055116	-38.659248395840144	-30.136428883403447	-22.992061137847298
67	-26.693093469963397	-38.243720336873146	-29.993119716183664	-22.987931532802413
68	-28.328941047128794	-39.464036605265825	-30.33026003636996	-23.082634279234494
69	-27.26661487719875	-38.412571288306175	-30.010479231201572	-22.97260994025902
70	-25.97601912545651	-37.04645031253443	-29.625179851430687	-23.03185563945154
71	-26.117338201128693	-36.88096602223709	-29.519239942886518	-23.005740817568395
72	-26.298011187631268	-36.87119703507017	-29.47546065429436	-22.97926167164524
73	-26.36089521794431	-36.67313205277139	-29.418993326372682	-22.9817238494305
74	-26.103269443522493	-36.39547945016048	-29.30555156244218	-22.933498174576858
75	-25.791763261975916	-35.96838021351912	-29.156046477993275	-22.92283887874769
76	-26.437628194490596	-36.346391332005666	-29.262447294363167	-22.894957475937712
77	-27.439822228675574	-37.34485583305674	-29.516015489591098	-22.931771974223008
78	-25.99730190009953	-35.90298553490409	-29.098497857663023	-22.891602638566404
79	-27.644631734705065	-37.3327981524505	-29.434908728841297	-22.86167123022462
80	-26.831859857285206	-36.437905949220045	-29.16817331494047	-22.823053020245762
81	-26.40886920566433	-35.92288707268488	-28.982010339454916	-22.795519070140635
82	-27.005312534572557	-36.28366702621959	-29.095138940747532	-22.79165283770341
83	-26.02733031861936	-35.3340685501713	-28.848614781548353	-22.88708347162308
84	-27.506228703396182	-36.71606109635996	-29.185038790242412	-22.862684201792298
85	-26.286258781391897	-35.560636063170605	-28.831889681749267	-22.769640377807274
86	-25.686411314857818	-34.91439961555458	-28.636455285199357	-22.77887798705616
87	-25.946275929306427	-34.9218269443521	-28.6508080148061	-22.786121390640627
88	-26.386332973780142	-35.37745118375922	-28.745798132859676	-22.731441807722273
89	-26.73154988107097	-35.83908687354793	-28.894853303508917	-22.7593445762807
90	-26.99575181159399	-36.36332489766553	-28.9454939532858	-22.606236032747162
91	-25.91344935833603	-35.023653058966374	-28.633159854749813	-22.724060321938307
