Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	16:29:19	16:29:19	16:29:19			16:29:19	16:29:19	16:29:24	16:29:24	16:29:24	16:29:24	16:29:24	16:30:57	16:30:57	16:30:57	16:30:57	16:30:57	16:30:57			16:31:03	16:31:03		00:00:00		00:00:04	00:00:05	00:00:00	00:01:32	00:00:00	00:00:00		00:00:05	00:01:43
1	16:31:03	16:31:03	16:31:03	16:31:03	16:31:21	16:31:21	16:31:21	16:31:26	16:31:26	16:31:26	16:31:26	16:31:26	16:32:53	16:32:53	16:32:53	16:32:53	16:32:53	16:32:53			16:32:54	16:32:54		00:00:00	00:00:17	00:00:04	00:00:04	00:00:00	00:01:26	00:00:00	00:00:00		00:00:00	00:01:50
2	16:32:54	16:32:54	16:32:55	16:32:55	16:33:15	16:33:15			16:33:15	16:33:15	16:33:15	16:33:15	16:34:49	16:34:49	16:34:49	16:34:49	16:34:50	16:34:50			16:34:50	16:34:50		00:00:01	00:00:20		00:00:00	00:00:00	00:01:34	00:00:00	00:00:00		00:00:00	00:01:56
3	16:34:50	16:34:50	16:34:50	16:34:50	16:35:14	16:35:14			16:35:14	16:35:14	16:35:15	16:35:15	18:33:30	18:33:30	18:33:30	18:33:30	18:33:30	18:33:30			18:33:31	18:33:31		00:00:00	00:00:23		00:00:00	00:00:01	01:58:15	00:00:00	00:00:00		00:00:00	01:58:40
4	18:33:31	18:33:31	18:33:31	18:33:31	18:33:57	18:33:57			18:33:57	18:33:57	18:33:58	18:33:58	20:30:10	20:30:10	20:30:10	20:30:10	20:30:10	20:30:10			20:30:11	20:30:11		00:00:00	00:00:25		00:00:00	00:00:01	01:56:12	00:00:00	00:00:00		00:00:00	01:56:40
5	20:30:11	20:30:11	20:30:12	20:30:12	20:30:49	20:30:49			20:30:49	20:30:49	20:30:50	20:30:50	20:33:00	20:33:00	20:33:00	20:33:00	20:33:00	20:33:00			20:33:00	20:33:00		00:00:00	00:00:37		00:00:00	00:00:00	00:02:09	00:00:00	00:00:00		00:00:00	00:02:48
6	20:33:00	20:33:00	20:33:00	20:33:00	20:33:31	20:33:31			20:33:31	20:33:31	20:33:31	20:33:31	20:35:48	20:35:48	20:35:48	20:35:48	20:35:48	20:35:48			20:35:50	20:35:50		00:00:00	00:00:30		00:00:00	00:00:00	00:02:16	00:00:00	00:00:00		00:00:01	00:02:49
7	20:35:50	20:35:50	20:35:50	20:35:50	20:36:24	20:36:24			20:36:24	20:36:24	20:36:25	20:36:25	20:38:50	20:38:50	20:38:50	20:38:50	20:38:50	20:38:50			20:38:53	20:38:53		00:00:00	00:00:33		00:00:00	00:00:01	00:02:24	00:00:00	00:00:00		00:00:02	00:03:02
8	20:38:53	20:38:53	20:38:53	20:38:53	20:39:30	20:39:30			20:39:30	20:39:30	20:39:30	20:39:30	20:42:13	20:42:13	20:42:13	20:42:13	20:42:14	20:42:14			20:42:15	20:42:15		00:00:00	00:00:36		00:00:00	00:00:00	00:02:43	00:00:00	00:00:00		00:00:01	00:03:22
9	20:42:16	20:42:16	20:42:16	20:42:16	20:42:57	20:42:57			20:42:57	20:42:57	20:42:58	20:42:58	20:45:55	20:45:55	20:45:55	20:45:55	20:45:55	20:45:55			20:45:57	20:45:57		00:00:00	00:00:40		00:00:00	00:00:00	00:02:57	00:00:00	00:00:00		00:00:01	00:03:40
