ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	-145.99842633311212	-145.99842633311212	-145.99842633311212	-145.99842633311212
1	-118.20368154663262	-131.93914391802264	-125.06419449745636	-118.18924507689049
2	-94.71567478426898	-119.64917551720411	-106.94844039255969	-94.6861900514444
3	-75.51964791459292	-109.10483024947658	-91.65503901496389	-75.46878395010572
4	-58.3597777685587	-98.79342190784429	-77.41971407465803	-58.265487194380135
5	-44.921675932072134	-89.88049805011703	-65.70538446823096	-44.76883933510329
6	-35.18526005365601	-83.18192264077996	-56.890101274108694	-34.982266774532214
7	-26.053580042040114	-75.70420663237132	-48.139720424457124	-25.791371210864188
8	-18.888805938156974	-69.0456603330018	-40.76229344714545	-18.54957227016274
9	-14.23955235645542	-64.10763676844846	-35.63691722443471	-13.829613618763116
10	-11.817879190175786	-60.301098711140675	-32.39359659646128	-11.371471609138009
11	-10.650174175793657	-58.002377129660545	-30.36654433796131	-10.14679105819211
12	-9.991645024338839	-55.577817305564466	-28.65771009076395	-9.429029345060147
13	-9.539439926982986	-53.115564982298736	-27.224120195587783	-8.953619800309681
14	-9.309243209978892	-51.04183634804731	-26.025158295534172	-8.712117629162435
15	-9.164619565217258	-48.506272333775904	-24.70879610230663	-8.528843207213042
16	-9.014409019249745	-46.05308973614336	-23.574605874543835	-8.387580277132265
17	-8.906414772098586	-43.99821136187591	-22.574824141682395	-8.255810861267765
18	-8.842303213850984	-42.094384887708536	-21.71968869274822	-8.185901579267501
19	-8.805845087952134	-40.3829272458235	-20.89936469742236	-8.11641753789121
20	-8.745167537891248	-38.71828776689876	-20.091547184423185	-8.049867864254752
21	-8.698741979201126	-36.95218953977177	-19.29191538633519	-7.993191379024127
22	-8.695508905852316	-35.28628457240831	-18.546728315033096	-7.962061414426251
23	-8.655572449939031	-33.43157097023988	-17.811840358446755	-7.91449849264284
24	-8.632080705830196	-31.78128436497395	-17.12305421875579	-7.869482451045329
25	-8.613335200243313	-30.276890419293974	-16.50481681233185	-7.843946025555786
26	-8.574837509680199	-28.58328707545089	-15.835424935234444	-7.792273965593417
27	-8.578638676844651	-27.148841616882333	-15.274359067881866	-7.770632467640107
28	-8.53512653501488	-25.86596616052668	-14.748490303591899	-7.743606662794427
29	-8.522729145923156	-24.75538942360875	-14.285608612678502	-7.710882771877283
30	-8.551196896780569	-23.838841547737555	-13.917389293386117	-7.7060662822213715
31	-8.449198819006387	-22.872977790684782	-13.469015625576109	-7.646553200021976
32	-8.444897803960522	-21.618648841132988	-13.02481604597668	-7.620043630379291
33	-8.47104049120476	-20.74817319393749	-12.690111392300002	-7.618578451709141
34	-8.491940272707081	-20.082035485120173	-12.424241775223926	-7.607734608363609
35	-8.435353191724626	-19.372958983294797	-12.10847707964555	-7.587413084965054
36	-8.43740575561445	-18.617275071910733	-11.811668971493875	-7.56842384389854
37	-8.41849838201126	-17.87090558966707	-11.498207161328628	-7.539412614780303
38	-8.388868168492053	-17.19488929914827	-11.237593616319876	-7.520222300586263
39	-8.445130268834884	-16.56865036231892	-11.009329260703607	-7.510960214072204
40	-8.37946640944783	-15.989024159199015	-10.762717621786981	-7.488165449717806
41	-8.387984082863108	-15.319109760482375	-10.533732396881987	-7.480749529815175
42	-8.421741688792958	-14.832372220378353	-10.360352534848982	-7.476702691116179
43	-8.410084287531728	-14.360917275140999	-10.178208181214691	-7.4614422917357235
44	-8.388905990706872	-13.903790588007517	-10.013990468386861	-7.4529486807167995
45	-8.395753194490453	-13.569273633698367	-9.886147867343315	-7.434871736364567
46	-8.364374930855046	-13.306629190175897	-9.772245212873687	-7.4245822961610095
47	-8.334306892355276	-13.074988729394864	-9.6667373960522	-7.405562147361352
48	-8.28977023177335	-12.708984746653375	-9.525651171313099	-7.388045206881235
49	-8.278246764022537	-12.413008352693858	-9.415518805085254	-7.376736018917948
